Loading graph /home/subhajit/data/min-1DeadEnd.mtx ...
order: 5 size: 6 {}
order: 5 size: 6 {} (transposeWithDegree)
[00001.581 ms; 000 iters.] [0.0000e+00 err.] pagerankNvgraph
[00001.545 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=4; limit=1]
[00001.490 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=4; limit=2]
[00001.504 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=4; limit=4]
[00001.493 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=4; limit=8]
[00001.492 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=4; limit=16]
[00001.494 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=4; limit=32]
[00001.485 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=4; limit=64]
[00001.497 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=4; limit=128]
[00001.494 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=4; limit=256]
[00001.505 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=4; limit=512]
[00001.487 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=4; limit=1024]
[00001.513 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=8; limit=1]
[00001.485 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=8; limit=2]
[00001.515 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=8; limit=4]
[00001.490 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=8; limit=8]
[00001.498 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=8; limit=16]
[00001.504 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=8; limit=32]
[00001.486 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=8; limit=64]
[00001.495 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=8; limit=128]
[00001.485 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=8; limit=256]
[00001.501 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=8; limit=512]
[00001.507 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=8; limit=1024]
[00001.508 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=16; limit=1]
[00001.495 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=16; limit=2]
[00001.496 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=16; limit=4]
[00001.490 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=16; limit=8]
[00001.515 ms; 045 iters.] [6.1560e-07 err.] pagerankCuda [degree=16; limit=16]
[00001.486 ms; 045 iters.] [6.1188e-07 err.] pagerankCuda [degree=16; limit=32]
